order,Vp,numberOfTurn,0,1,2,3,4,5
"A4,A5,A2,A0,A1,A3",0.14285714285714285,3,"['agent_0', True, {1: '11', 2: None, 3: None}, 1, 29, 19]","['agent_1', True, {1: None, 2: None, 3: None}, 0, 23, 13]","['agent_2', True, {1: '12', 2: None, 3: None}, 1, 38, 27]","['agent_3', True, {1: '13', 2: None, 3: None}, 1, 36, 26]","['agent_4', True, {1: '1', 2: '14', 3: None}, 2, 46, 41]","['agent_5', True, {1: '10', 2: None, 3: None}, 1, 41, 37]"
"A4,A5,A2,A0,A3,A1",0.14285714285714285,3,"['agent_0', True, {1: '11', 2: None, 3: None}, 1, 29, 19]","['agent_1', True, {1: None, 2: None, 3: None}, 0, 23, 13]","['agent_2', True, {1: '12', 2: None, 3: None}, 1, 38, 27]","['agent_3', True, {1: '13', 2: None, 3: None}, 1, 36, 26]","['agent_4', True, {1: '1', 2: '14', 3: None}, 2, 46, 41]","['agent_5', True, {1: '10', 2: None, 3: None}, 1, 41, 37]"
"A4,A5,A2,A1,A0,A3",0.14285714285714285,3,"['agent_0', True, {1: '13', 2: None, 3: None}, 1, 29, 19]","['agent_1', True, {1: '11', 2: None, 3: None}, 1, 23, 13]","['agent_2', True, {1: '12', 2: None, 3: None}, 1, 38, 27]","['agent_3', True, {1: None, 2: None, 3: None}, 0, 36, 26]","['agent_4', True, {1: '1', 2: '14', 3: None}, 2, 46, 41]","['agent_5', True, {1: '10', 2: None, 3: None}, 1, 41, 37]"
"A4,A5,A2,A1,A3,A0",0.14285714285714285,2,"['agent_0', True, {1: '15', 2: None}, 1, 29, 19]","['agent_1', True, {1: '11', 2: None}, 1, 23, 13]","['agent_2', True, {1: '12', 2: None}, 1, 38, 27]","['agent_3', True, {1: '13', 2: None}, 1, 36, 26]","['agent_4', True, {1: '1', 2: None}, 1, 46, 41]","['agent_5', True, {1: '10', 2: None}, 1, 41, 37]"
"A4,A5,A2,A3,A0,A1",0.14285714285714285,3,"['agent_0', True, {1: '13', 2: None, 3: None}, 1, 29, 19]","['agent_1', True, {1: None, 2: None, 3: None}, 0, 23, 13]","['agent_2', True, {1: '12', 2: None, 3: None}, 1, 38, 27]","['agent_3', True, {1: '11', 2: None, 3: None}, 1, 36, 26]","['agent_4', True, {1: '1', 2: '14', 3: None}, 2, 46, 41]","['agent_5', True, {1: '10', 2: None, 3: None}, 1, 41, 37]"
"A4,A5,A2,A3,A1,A0",0.14285714285714285,3,"['agent_0', True, {1: '13', 2: None, 3: None}, 1, 29, 19]","['agent_1', True, {1: None, 2: None, 3: None}, 0, 23, 13]","['agent_2', True, {1: '12', 2: None, 3: None}, 1, 38, 27]","['agent_3', True, {1: '11', 2: None, 3: None}, 1, 36, 26]","['agent_4', True, {1: '1', 2: '14', 3: None}, 2, 46, 41]","['agent_5', True, {1: '10', 2: None, 3: None}, 1, 41, 37]"
"A4,A5,A3,A0,A1,A2",0.14285714285714285,3,"['agent_0', True, {1: '13', 2: None, 3: None}, 1, 29, 19]","['agent_1', True, {1: None, 2: None, 3: None}, 0, 23, 13]","['agent_2', True, {1: '12', 2: None, 3: None}, 1, 38, 27]","['agent_3', True, {1: '11', 2: None, 3: None}, 1, 36, 26]","['agent_4', True, {1: '1', 2: '14', 3: None}, 2, 46, 41]","['agent_5', True, {1: '10', 2: None, 3: None}, 1, 41, 37]"
"A4,A5,A3,A0,A2,A1",0.14285714285714285,3,"['agent_0', True, {1: '13', 2: None, 3: None}, 1, 29, 19]","['agent_1', True, {1: None, 2: None, 3: None}, 0, 23, 13]","['agent_2', True, {1: '12', 2: None, 3: None}, 1, 38, 27]","['agent_3', True, {1: '11', 2: None, 3: None}, 1, 36, 26]","['agent_4', True, {1: '1', 2: '14', 3: None}, 2, 46, 41]","['agent_5', True, {1: '10', 2: None, 3: None}, 1, 41, 37]"
"A4,A5,A3,A1,A0,A2",0.14285714285714285,3,"['agent_0', True, {1: '15', 2: None, 3: None}, 1, 29, 19]","['agent_1', True, {1: '13', 2: None, 3: None}, 1, 23, 13]","['agent_2', True, {1: None, 2: None, 3: None}, 0, 38, 27]","['agent_3', True, {1: '11', 2: None, 3: None}, 1, 36, 26]","['agent_4', True, {1: '1', 2: '14', 3: None}, 2, 46, 41]","['agent_5', True, {1: '10', 2: None, 3: None}, 1, 41, 37]"
"A4,A5,A3,A1,A2,A0",0.14285714285714285,2,"['agent_0', True, {1: '15', 2: None}, 1, 29, 19]","['agent_1', True, {1: '13', 2: None}, 1, 23, 13]","['agent_2', True, {1: '12', 2: None}, 1, 38, 27]","['agent_3', True, {1: '11', 2: None}, 1, 36, 26]","['agent_4', True, {1: '1', 2: None}, 1, 46, 41]","['agent_5', True, {1: '10', 2: None}, 1, 41, 37]"
"A4,A5,A3,A2,A0,A1",0.14285714285714285,3,"['agent_0', True, {1: '13', 2: None, 3: None}, 1, 29, 19]","['agent_1', True, {1: None, 2: None, 3: None}, 0, 23, 13]","['agent_2', True, {1: '12', 2: None, 3: None}, 1, 38, 27]","['agent_3', True, {1: '11', 2: None, 3: None}, 1, 36, 26]","['agent_4', True, {1: '1', 2: '14', 3: None}, 2, 46, 41]","['agent_5', True, {1: '10', 2: None, 3: None}, 1, 41, 37]"
"A4,A5,A3,A2,A1,A0",0.14285714285714285,3,"['agent_0', True, {1: '13', 2: None, 3: None}, 1, 29, 19]","['agent_1', True, {1: None, 2: None, 3: None}, 0, 23, 13]","['agent_2', True, {1: '12', 2: None, 3: None}, 1, 38, 27]","['agent_3', True, {1: '11', 2: None, 3: None}, 1, 36, 26]","['agent_4', True, {1: '1', 2: '14', 3: None}, 2, 46, 41]","['agent_5', True, {1: '10', 2: None, 3: None}, 1, 41, 37]"
"A5,A0,A1,A2,A3,A4",0.14285714285714285,2,"['agent_0', True, {1: '11', 2: None}, 1, 29, 19]","['agent_1', True, {1: '13', 2: None}, 1, 23, 13]","['agent_2', True, {1: '10', 2: None}, 1, 38, 27]","['agent_3', True, {1: '12', 2: None}, 1, 36, 26]","['agent_4', True, {1: '14', 2: None}, 1, 46, 41]","['agent_5', True, {1: '1', 2: None}, 1, 41, 37]"
"A5,A0,A1,A2,A4,A3",0.14285714285714285,3,"['agent_0', True, {1: '11', 2: '15', 3: None}, 2, 29, 19]","['agent_1', True, {1: '13', 2: None, 3: None}, 1, 23, 13]","['agent_2', True, {1: '10', 2: None, 3: None}, 1, 38, 27]","['agent_3', True, {1: None, 2: None, 3: None}, 0, 36, 26]","['agent_4', True, {1: '14', 2: None, 3: None}, 1, 46, 41]","['agent_5', True, {1: '1', 2: None, 3: None}, 1, 41, 37]"
"A5,A0,A1,A3,A2,A4",0.14285714285714285,2,"['agent_0', True, {1: '11', 2: None}, 1, 29, 19]","['agent_1', True, {1: '13', 2: None}, 1, 23, 13]","['agent_2', True, {1: '10', 2: None}, 1, 38, 27]","['agent_3', True, {1: '12', 2: None}, 1, 36, 26]","['agent_4', True, {1: '14', 2: None}, 1, 46, 41]","['agent_5', True, {1: '1', 2: None}, 1, 41, 37]"
"A5,A0,A1,A3,A4,A2",0.14285714285714285,3,"['agent_0', True, {1: '11', 2: '15', 3: None}, 2, 29, 19]","['agent_1', True, {1: '13', 2: None, 3: None}, 1, 23, 13]","['agent_2', True, {1: None, 2: None, 3: None}, 0, 38, 27]","['agent_3', True, {1: '12', 2: None, 3: None}, 1, 36, 26]","['agent_4', True, {1: '10', 2: None, 3: None}, 1, 46, 41]","['agent_5', True, {1: '1', 2: None, 3: None}, 1, 41, 37]"
"A5,A0,A1,A4,A2,A3",0.14285714285714285,3,"['agent_0', True, {1: '11', 2: '15', 3: None}, 2, 29, 19]","['agent_1', True, {1: '13', 2: None, 3: None}, 1, 23, 13]","['agent_2', True, {1: '12', 2: None, 3: None}, 1, 38, 27]","['agent_3', True, {1: None, 2: None, 3: None}, 0, 36, 26]","['agent_4', True, {1: '10', 2: None, 3: None}, 1, 46, 41]","['agent_5', True, {1: '1', 2: None, 3: None}, 1, 41, 37]"
"A5,A0,A1,A4,A3,A2",0.14285714285714285,3,"['agent_0', True, {1: '11', 2: '15', 3: None}, 2, 29, 19]","['agent_1', True, {1: '13', 2: None, 3: None}, 1, 23, 13]","['agent_2', True, {1: None, 2: None, 3: None}, 0, 38, 27]","['agent_3', True, {1: '12', 2: None, 3: None}, 1, 36, 26]","['agent_4', True, {1: '10', 2: None, 3: None}, 1, 46, 41]","['agent_5', True, {1: '1', 2: None, 3: None}, 1, 41, 37]"
"A5,A0,A2,A1,A3,A4",0.14285714285714285,2,"['agent_0', True, {1: '11', 2: None}, 1, 29, 19]","['agent_1', True, {1: '13', 2: None}, 1, 23, 13]","['agent_2', True, {1: '10', 2: None}, 1, 38, 27]","['agent_3', True, {1: '12', 2: None}, 1, 36, 26]","['agent_4', True, {1: '14', 2: None}, 1, 46, 41]","['agent_5', True, {1: '1', 2: None}, 1, 41, 37]"
"A5,A0,A2,A1,A4,A3",0.14285714285714285,3,"['agent_0', True, {1: '11', 2: '15', 3: None}, 2, 29, 19]","['agent_1', True, {1: '13', 2: None, 3: None}, 1, 23, 13]","['agent_2', True, {1: '10', 2: None, 3: None}, 1, 38, 27]","['agent_3', True, {1: None, 2: None, 3: None}, 0, 36, 26]","['agent_4', True, {1: '14', 2: None, 3: None}, 1, 46, 41]","['agent_5', True, {1: '1', 2: None, 3: None}, 1, 41, 37]"
"A5,A0,A2,A3,A1,A4",0.14285714285714285,3,"['agent_0', True, {1: '11', 2: '15', 3: None}, 2, 29, 19]","['agent_1', True, {1: None, 2: None, 3: None}, 0, 23, 13]","['agent_2', True, {1: '10', 2: None, 3: None}, 1, 38, 27]","['agent_3', True, {1: '12', 2: None, 3: None}, 1, 36, 26]","['agent_4', True, {1: '13', 2: None, 3: None}, 1, 46, 41]","['agent_5', True, {1: '1', 2: None, 3: None}, 1, 41, 37]"
"A5,A0,A2,A3,A4,A1",0.14285714285714285,3,"['agent_0', True, {1: '11', 2: '15', 3: None}, 2, 29, 19]","['agent_1', True, {1: None, 2: None, 3: None}, 0, 23, 13]","['agent_2', True, {1: '10', 2: None, 3: None}, 1, 38, 27]","['agent_3', True, {1: '12', 2: None, 3: None}, 1, 36, 26]","['agent_4', True, {1: '13', 2: None, 3: None}, 1, 46, 41]","['agent_5', True, {1: '1', 2: None, 3: None}, 1, 41, 37]"
"A5,A0,A2,A4,A1,A3",0.14285714285714285,3,"['agent_0', True, {1: '11', 2: '15', 3: None}, 2, 29, 19]","['agent_1', True, {1: None, 2: None, 3: None}, 0, 23, 13]","['agent_2', True, {1: '10', 2: None, 3: None}, 1, 38, 27]","['agent_3', True, {1: '12', 2: None, 3: None}, 1, 36, 26]","['agent_4', True, {1: '13', 2: None, 3: None}, 1, 46, 41]","['agent_5', True, {1: '1', 2: None, 3: None}, 1, 41, 37]"
"A5,A0,A2,A4,A3,A1",0.14285714285714285,3,"['agent_0', True, {1: '11', 2: '15', 3: None}, 2, 29, 19]","['agent_1', True, {1: None, 2: None, 3: None}, 0, 23, 13]","['agent_2', True, {1: '10', 2: None, 3: None}, 1, 38, 27]","['agent_3', True, {1: '12', 2: None, 3: None}, 1, 36, 26]","['agent_4', True, {1: '13', 2: None, 3: None}, 1, 46, 41]","['agent_5', True, {1: '1', 2: None, 3: None}, 1, 41, 37]"
"A5,A0,A3,A1,A2,A4",0.14285714285714285,2,"['agent_0', True, {1: '11', 2: None}, 1, 29, 19]","['agent_1', True, {1: '13', 2: None}, 1, 23, 13]","['agent_2', True, {1: '10', 2: None}, 1, 38, 27]","['agent_3', True, {1: '12', 2: None}, 1, 36, 26]","['agent_4', True, {1: '14', 2: None}, 1, 46, 41]","['agent_5', True, {1: '1', 2: None}, 1, 41, 37]"
"A5,A0,A3,A1,A4,A2",0.14285714285714285,3,"['agent_0', True, {1: '11', 2: '15', 3: None}, 2, 29, 19]","['agent_1', True, {1: '13', 2: None, 3: None}, 1, 23, 13]","['agent_2', True, {1: None, 2: None, 3: None}, 0, 38, 27]","['agent_3', True, {1: '12', 2: None, 3: None}, 1, 36, 26]","['agent_4', True, {1: '10', 2: None, 3: None}, 1, 46, 41]","['agent_5', True, {1: '1', 2: None, 3: None}, 1, 41, 37]"
"A5,A0,A3,A2,A1,A4",0.14285714285714285,3,"['agent_0', True, {1: '11', 2: '15', 3: None}, 2, 29, 19]","['agent_1', True, {1: None, 2: None, 3: None}, 0, 23, 13]","['agent_2', True, {1: '10', 2: None, 3: None}, 1, 38, 27]","['agent_3', True, {1: '12', 2: None, 3: None}, 1, 36, 26]","['agent_4', True, {1: '13', 2: None, 3: None}, 1, 46, 41]","['agent_5', True, {1: '1', 2: None, 3: None}, 1, 41, 37]"
"A5,A0,A3,A2,A4,A1",0.14285714285714285,3,"['agent_0', True, {1: '11', 2: '15', 3: None}, 2, 29, 19]","['agent_1', True, {1: None, 2: None, 3: None}, 0, 23, 13]","['agent_2', True, {1: '10', 2: None, 3: None}, 1, 38, 27]","['agent_3', True, {1: '12', 2: None, 3: None}, 1, 36, 26]","['agent_4', True, {1: '13', 2: None, 3: None}, 1, 46, 41]","['agent_5', True, {1: '1', 2: None, 3: None}, 1, 41, 37]"
"A5,A0,A3,A4,A1,A2",0.14285714285714285,3,"['agent_0', True, {1: '11', 2: '13', 3: None}, 2, 29, 19]","['agent_1', True, {1: None, 2: None, 3: None}, 0, 23, 13]","['agent_2', True, {1: '14', 2: None, 3: None}, 1, 38, 27]","['agent_3', True, {1: '12', 2: None, 3: None}, 1, 36, 26]","['agent_4', True, {1: '10', 2: None, 3: None}, 1, 46, 41]","['agent_5', True, {1: '1', 2: None, 3: None}, 1, 41, 37]"
"A5,A0,A3,A4,A2,A1",0.14285714285714285,3,"['agent_0', True, {1: '11', 2: '13', 3: None}, 2, 29, 19]","['agent_1', True, {1: None, 2: None, 3: None}, 0, 23, 13]","['agent_2', True, {1: '14', 2: None, 3: None}, 1, 38, 27]","['agent_3', True, {1: '12', 2: None, 3: None}, 1, 36, 26]","['agent_4', True, {1: '10', 2: None, 3: None}, 1, 46, 41]","['agent_5', True, {1: '1', 2: None, 3: None}, 1, 41, 37]"
"A5,A0,A4,A1,A2,A3",0.14285714285714285,3,"['agent_0', True, {1: '11', 2: '15', 3: None}, 2, 29, 19]","['agent_1', True, {1: '13', 2: None, 3: None}, 1, 23, 13]","['agent_2', True, {1: '12', 2: None, 3: None}, 1, 38, 27]","['agent_3', True, {1: None, 2: None, 3: None}, 0, 36, 26]","['agent_4', True, {1: '10', 2: None, 3: None}, 1, 46, 41]","['agent_5', True, {1: '1', 2: None, 3: None}, 1, 41, 37]"
"A5,A0,A4,A1,A3,A2",0.14285714285714285,3,"['agent_0', True, {1: '11', 2: '15', 3: None}, 2, 29, 19]","['agent_1', True, {1: '13', 2: None, 3: None}, 1, 23, 13]","['agent_2', True, {1: None, 2: None, 3: None}, 0, 38, 27]","['agent_3', True, {1: '12', 2: None, 3: None}, 1, 36, 26]","['agent_4', True, {1: '10', 2: None, 3: None}, 1, 46, 41]","['agent_5', True, {1: '1', 2: None, 3: None}, 1, 41, 37]"
"A5,A0,A4,A2,A1,A3",0.14285714285714285,3,"['agent_0', True, {1: '11', 2: '15', 3: None}, 2, 29, 19]","['agent_1', True, {1: None, 2: None, 3: None}, 0, 23, 13]","['agent_2', True, {1: '12', 2: None, 3: None}, 1, 38, 27]","['agent_3', True, {1: '13', 2: None, 3: None}, 1, 36, 26]","['agent_4', True, {1: '10', 2: None, 3: None}, 1, 46, 41]","['agent_5', True, {1: '1', 2: None, 3: None}, 1, 41, 37]"
"A5,A0,A4,A2,A3,A1",0.14285714285714285,3,"['agent_0', True, {1: '11', 2: '15', 3: None}, 2, 29, 19]","['agent_1', True, {1: None, 2: None, 3: None}, 0, 23, 13]","['agent_2', True, {1: '12', 2: None, 3: None}, 1, 38, 27]","['agent_3', True, {1: '13', 2: None, 3: None}, 1, 36, 26]","['agent_4', True, {1: '10', 2: None, 3: None}, 1, 46, 41]","['agent_5', True, {1: '1', 2: None, 3: None}, 1, 41, 37]"
"A5,A0,A4,A3,A1,A2",0.14285714285714285,3,"['agent_0', True, {1: '11', 2: '13', 3: None}, 2, 29, 19]","['agent_1', True, {1: None, 2: None, 3: None}, 0, 23, 13]","['agent_2', True, {1: '14', 2: None, 3: None}, 1, 38, 27]","['agent_3', True, {1: '12', 2: None, 3: None}, 1, 36, 26]","['agent_4', True, {1: '10', 2: None, 3: None}, 1, 46, 41]","['agent_5', True, {1: '1', 2: None, 3: None}, 1, 41, 37]"
"A5,A0,A4,A3,A2,A1",0.14285714285714285,3,"['agent_0', True, {1: '11', 2: '13', 3: None}, 2, 29, 19]","['agent_1', True, {1: None, 2: None, 3: None}, 0, 23, 13]","['agent_2', True, {1: '14', 2: None, 3: None}, 1, 38, 27]","['agent_3', True, {1: '12', 2: None, 3: None}, 1, 36, 26]","['agent_4', True, {1: '10', 2: None, 3: None}, 1, 46, 41]","['agent_5', True, {1: '1', 2: None, 3: None}, 1, 41, 37]"
"A5,A1,A0,A2,A3,A4",0.14285714285714285,2,"['agent_0', True, {1: '13', 2: None}, 1, 29, 19]","['agent_1', True, {1: '11', 2: None}, 1, 23, 13]","['agent_2', True, {1: '10', 2: None}, 1, 38, 27]","['agent_3', True, {1: '12', 2: None}, 1, 36, 26]","['agent_4', True, {1: '14', 2: None}, 1, 46, 41]","['agent_5', True, {1: '1', 2: None}, 1, 41, 37]"
"A5,A1,A0,A2,A4,A3",0.14285714285714285,3,"['agent_0', True, {1: '13', 2: '15', 3: None}, 2, 29, 19]","['agent_1', True, {1: '11', 2: None, 3: None}, 1, 23, 13]","['agent_2', True, {1: '10', 2: None, 3: None}, 1, 38, 27]","['agent_3', True, {1: None, 2: None, 3: None}, 0, 36, 26]","['agent_4', True, {1: '14', 2: None, 3: None}, 1, 46, 41]","['agent_5', True, {1: '1', 2: None, 3: None}, 1, 41, 37]"
"A5,A1,A0,A3,A2,A4",0.14285714285714285,2,"['agent_0', True, {1: '13', 2: None}, 1, 29, 19]","['agent_1', True, {1: '11', 2: None}, 1, 23, 13]","['agent_2', True, {1: '10', 2: None}, 1, 38, 27]","['agent_3', True, {1: '12', 2: None}, 1, 36, 26]","['agent_4', True, {1: '14', 2: None}, 1, 46, 41]","['agent_5', True, {1: '1', 2: None}, 1, 41, 37]"
"A5,A1,A0,A3,A4,A2",0.14285714285714285,3,"['agent_0', True, {1: '13', 2: '15', 3: None}, 2, 29, 19]","['agent_1', True, {1: '11', 2: None, 3: None}, 1, 23, 13]","['agent_2', True, {1: None, 2: None, 3: None}, 0, 38, 27]","['agent_3', True, {1: '12', 2: None, 3: None}, 1, 36, 26]","['agent_4', True, {1: '10', 2: None, 3: None}, 1, 46, 41]","['agent_5', True, {1: '1', 2: None, 3: None}, 1, 41, 37]"
"A5,A1,A0,A4,A2,A3",0.14285714285714285,3,"['agent_0', True, {1: '13', 2: '15', 3: None}, 2, 29, 19]","['agent_1', True, {1: '11', 2: None, 3: None}, 1, 23, 13]","['agent_2', True, {1: '12', 2: None, 3: None}, 1, 38, 27]","['agent_3', True, {1: None, 2: None, 3: None}, 0, 36, 26]","['agent_4', True, {1: '10', 2: None, 3: None}, 1, 46, 41]","['agent_5', True, {1: '1', 2: None, 3: None}, 1, 41, 37]"
"A5,A1,A0,A4,A3,A2",0.14285714285714285,3,"['agent_0', True, {1: '13', 2: '15', 3: None}, 2, 29, 19]","['agent_1', True, {1: '11', 2: None, 3: None}, 1, 23, 13]","['agent_2', True, {1: None, 2: None, 3: None}, 0, 38, 27]","['agent_3', True, {1: '12', 2: None, 3: None}, 1, 36, 26]","['agent_4', True, {1: '10', 2: None, 3: None}, 1, 46, 41]","['agent_5', True, {1: '1', 2: None, 3: None}, 1, 41, 37]"
"A5,A1,A2,A0,A3,A4",0.14285714285714285,2,"['agent_0', True, {1: '13', 2: None}, 1, 29, 19]","['agent_1', True, {1: '11', 2: None}, 1, 23, 13]","['agent_2', True, {1: '10', 2: None}, 1, 38, 27]","['agent_3', True, {1: '12', 2: None}, 1, 36, 26]","['agent_4', True, {1: '14', 2: None}, 1, 46, 41]","['agent_5', True, {1: '1', 2: None}, 1, 41, 37]"
"A5,A1,A2,A0,A4,A3",0.14285714285714285,3,"['agent_0', True, {1: '13', 2: '15', 3: None}, 2, 29, 19]","['agent_1', True, {1: '11', 2: None, 3: None}, 1, 23, 13]","['agent_2', True, {1: '10', 2: None, 3: None}, 1, 38, 27]","['agent_3', True, {1: None, 2: None, 3: None}, 0, 36, 26]","['agent_4', True, {1: '14', 2: None, 3: None}, 1, 46, 41]","['agent_5', True, {1: '1', 2: None, 3: None}, 1, 41, 37]"
"A5,A1,A2,A3,A0,A4",0.14285714285714285,2,"['agent_0', True, {1: '13', 2: None}, 1, 29, 19]","['agent_1', True, {1: '11', 2: None}, 1, 23, 13]","['agent_2', True, {1: '10', 2: None}, 1, 38, 27]","['agent_3', True, {1: '12', 2: None}, 1, 36, 26]","['agent_4', True, {1: '14', 2: None}, 1, 46, 41]","['agent_5', True, {1: '1', 2: None}, 1, 41, 37]"
"A5,A1,A2,A3,A4,A0",0.14285714285714285,2,"['agent_0', True, {1: '15', 2: None}, 1, 29, 19]","['agent_1', True, {1: '11', 2: None}, 1, 23, 13]","['agent_2', True, {1: '10', 2: None}, 1, 38, 27]","['agent_3', True, {1: '12', 2: None}, 1, 36, 26]","['agent_4', True, {1: '13', 2: None}, 1, 46, 41]","['agent_5', True, {1: '1', 2: None}, 1, 41, 37]"
"A5,A1,A2,A4,A0,A3",0.14285714285714285,3,"['agent_0', True, {1: '15', 2: None, 3: None}, 1, 29, 19]","['agent_1', True, {1: '11', 2: None, 3: None}, 1, 23, 13]","['agent_2', True, {1: '10', 2: None, 3: None}, 1, 38, 27]","['agent_3', True, {1: None, 2: None, 3: None}, 0, 36, 26]","['agent_4', True, {1: '13', 2: '14', 3: None}, 2, 46, 41]","['agent_5', True, {1: '1', 2: None, 3: None}, 1, 41, 37]"
"A5,A1,A2,A4,A3,A0",0.14285714285714285,2,"['agent_0', True, {1: '15', 2: None}, 1, 29, 19]","['agent_1', True, {1: '11', 2: None}, 1, 23, 13]","['agent_2', True, {1: '10', 2: None}, 1, 38, 27]","['agent_3', True, {1: '12', 2: None}, 1, 36, 26]","['agent_4', True, {1: '13', 2: None}, 1, 46, 41]","['agent_5', True, {1: '1', 2: None}, 1, 41, 37]"
"A5,A1,A3,A0,A2,A4",0.14285714285714285,2,"['agent_0', True, {1: '13', 2: None}, 1, 29, 19]","['agent_1', True, {1: '11', 2: None}, 1, 23, 13]","['agent_2', True, {1: '10', 2: None}, 1, 38, 27]","['agent_3', True, {1: '12', 2: None}, 1, 36, 26]","['agent_4', True, {1: '14', 2: None}, 1, 46, 41]","['agent_5', True, {1: '1', 2: None}, 1, 41, 37]"
"A5,A1,A3,A0,A4,A2",0.14285714285714285,3,"['agent_0', True, {1: '13', 2: '15', 3: None}, 2, 29, 19]","['agent_1', True, {1: '11', 2: None, 3: None}, 1, 23, 13]","['agent_2', True, {1: None, 2: None, 3: None}, 0, 38, 27]","['agent_3', True, {1: '12', 2: None, 3: None}, 1, 36, 26]","['agent_4', True, {1: '10', 2: None, 3: None}, 1, 46, 41]","['agent_5', True, {1: '1', 2: None, 3: None}, 1, 41, 37]"
"A5,A1,A3,A2,A0,A4",0.14285714285714285,2,"['agent_0', True, {1: '13', 2: None}, 1, 29, 19]","['agent_1', True, {1: '11', 2: None}, 1, 23, 13]","['agent_2', True, {1: '10', 2: None}, 1, 38, 27]","['agent_3', True, {1: '12', 2: None}, 1, 36, 26]","['agent_4', True, {1: '14', 2: None}, 1, 46, 41]","['agent_5', True, {1: '1', 2: None}, 1, 41, 37]"
"A5,A1,A3,A2,A4,A0",0.14285714285714285,2,"['agent_0', True, {1: '15', 2: None}, 1, 29, 19]","['agent_1', True, {1: '11', 2: None}, 1, 23, 13]","['agent_2', True, {1: '10', 2: None}, 1, 38, 27]","['agent_3', True, {1: '12', 2: None}, 1, 36, 26]","['agent_4', True, {1: '13', 2: None}, 1, 46, 41]","['agent_5', True, {1: '1', 2: None}, 1, 41, 37]"
"A5,A1,A3,A4,A0,A2",0.14285714285714285,3,"['agent_0', True, {1: '13', 2: None, 3: None}, 1, 29, 19]","['agent_1', True, {1: '11', 2: None, 3: None}, 1, 23, 13]","['agent_2', True, {1: None, 2: None, 3: None}, 0, 38, 27]","['agent_3', True, {1: '12', 2: None, 3: None}, 1, 36, 26]","['agent_4', True, {1: '10', 2: '14', 3: None}, 2, 46, 41]","['agent_5', True, {1: '1', 2: None, 3: None}, 1, 41, 37]"
"A5,A1,A3,A4,A2,A0",0.14285714285714285,2,"['agent_0', True, {1: '13', 2: None}, 1, 29, 19]","['agent_1', True, {1: '11', 2: None}, 1, 23, 13]","['agent_2', True, {1: '14', 2: None}, 1, 38, 27]","['agent_3', True, {1: '12', 2: None}, 1, 36, 26]","['agent_4', True, {1: '10', 2: None}, 1, 46, 41]","['agent_5', True, {1: '1', 2: None}, 1, 41, 37]"
"A5,A1,A4,A0,A2,A3",0.14285714285714285,3,"['agent_0', True, {1: '13', 2: None, 3: None}, 1, 29, 19]","['agent_1', True, {1: '11', 2: None, 3: None}, 1, 23, 13]","['agent_2', True, {1: '12', 2: None, 3: None}, 1, 38, 27]","['agent_3', True, {1: None, 2: None, 3: None}, 0, 36, 26]","['agent_4', True, {1: '10', 2: '14', 3: None}, 2, 46, 41]","['agent_5', True, {1: '1', 2: None, 3: None}, 1, 41, 37]"
"A5,A1,A4,A0,A3,A2",0.14285714285714285,3,"['agent_0', True, {1: '13', 2: None, 3: None}, 1, 29, 19]","['agent_1', True, {1: '11', 2: None, 3: None}, 1, 23, 13]","['agent_2', True, {1: None, 2: None, 3: None}, 0, 38, 27]","['agent_3', True, {1: '12', 2: None, 3: None}, 1, 36, 26]","['agent_4', True, {1: '10', 2: '14', 3: None}, 2, 46, 41]","['agent_5', True, {1: '1', 2: None, 3: None}, 1, 41, 37]"
"A5,A1,A4,A2,A0,A3",0.14285714285714285,3,"['agent_0', True, {1: '13', 2: None, 3: None}, 1, 29, 19]","['agent_1', True, {1: '11', 2: None, 3: None}, 1, 23, 13]","['agent_2', True, {1: '12', 2: None, 3: None}, 1, 38, 27]","['agent_3', True, {1: None, 2: None, 3: None}, 0, 36, 26]","['agent_4', True, {1: '10', 2: '14', 3: None}, 2, 46, 41]","['agent_5', True, {1: '1', 2: None, 3: None}, 1, 41, 37]"
"A5,A1,A4,A2,A3,A0",0.14285714285714285,2,"['agent_0', True, {1: '15', 2: None}, 1, 29, 19]","['agent_1', True, {1: '11', 2: None}, 1, 23, 13]","['agent_2', True, {1: '12', 2: None}, 1, 38, 27]","['agent_3', True, {1: '13', 2: None}, 1, 36, 26]","['agent_4', True, {1: '10', 2: None}, 1, 46, 41]","['agent_5', True, {1: '1', 2: None}, 1, 41, 37]"
"A5,A1,A4,A3,A0,A2",0.14285714285714285,3,"['agent_0', True, {1: '13', 2: None, 3: None}, 1, 29, 19]","['agent_1', True, {1: '11', 2: None, 3: None}, 1, 23, 13]","['agent_2', True, {1: None, 2: None, 3: None}, 0, 38, 27]","['agent_3', True, {1: '12', 2: None, 3: None}, 1, 36, 26]","['agent_4', True, {1: '10', 2: '14', 3: None}, 2, 46, 41]","['agent_5', True, {1: '1', 2: None, 3: None}, 1, 41, 37]"
